Forma ;Lemma;Analisi ;olivetti_url;;;
εἴρησαι;λέγω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηται;λέγω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρημεθα;λέγω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρησθε;λέγω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηνται;λέγω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἑώραμαι;ὁράω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρασαι;ὁράω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώραται;ὁράω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώραμεθα;ὁράω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρασθε;ὁράω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρανται;ὁράω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμμαι;ὁράω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμσαι;ὁράω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμται;ὁράω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
